IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
129.146.133.33,443,true,LAX,North America,Los Angeles,17 ms,55886 kB/s
192.9.157.76,443,true,SJC,North America,San Jose,16 ms,52526 kB/s
150.230.44.13,443,true,SJC,North America,San Jose,19 ms,46928 kB/s
129.146.248.140,443,true,LAX,North America,Los Angeles,17 ms,39732 kB/s
129.80.26.68,443,true,IAD,North America,Ashburn,64 ms,38463 kB/s
193.122.197.111,443,true,IAD,North America,Ashburn,74 ms,25147 kB/s
131.186.33.175,443,true,NRT,Asia Pacific,Tokyo,170 ms,20071 kB/s
129.213.165.166,443,true,IAD,North America,Ashburn,68 ms,17388 kB/s
150.136.240.243,443,true,IAD,North America,Ashburn,64 ms,16985 kB/s
130.61.23.77,443,true,FRA,Europe,Frankfurt,138 ms,16662 kB/s
140.238.28.86,443,true,ICN,Asia Pacific,Seoul,133 ms,15699 kB/s
152.70.52.215,443,true,AMS,Europe,Amsterdam,131 ms,15679 kB/s
144.24.80.56,443,true,ICN,Asia Pacific,Seoul,136 ms,15434 kB/s
152.70.90.168,443,true,ICN,Asia Pacific,Seoul,133 ms,15434 kB/s
129.154.50.159,443,true,ICN,Asia Pacific,Seoul,136 ms,15329 kB/s
138.3.254.39,443,true,FRA,Europe,Frankfurt,148 ms,15196 kB/s
141.144.197.111,443,true,AMS,Europe,Amsterdam,132 ms,14834 kB/s
130.61.87.219,443,true,FRA,Europe,Frankfurt,137 ms,14658 kB/s
132.145.152.194,443,true,IAD,North America,Ashburn,68 ms,13473 kB/s
158.101.71.60,443,true,KIX,Asia Pacific,Osaka,161 ms,12884 kB/s
150.230.6.108,443,true,KIX,Asia Pacific,Osaka,155 ms,12617 kB/s
141.147.184.160,443,true,NRT,Asia Pacific,Tokyo,165 ms,12052 kB/s
168.138.212.87,443,true,NRT,Asia Pacific,Tokyo,161 ms,11705 kB/s
138.2.56.246,443,true,KIX,Asia Pacific,Osaka,162 ms,11596 kB/s
141.147.186.227,443,true,KIX,Asia Pacific,Osaka,170 ms,11000 kB/s
129.150.37.203,443,true,SIN,Asia Pacific,Singapore,174 ms,10834 kB/s
168.138.185.234,443,true,SIN,Asia Pacific,Singapore,174 ms,10641 kB/s
138.2.94.123,443,true,SIN,Asia Pacific,Singapore,183 ms,10637 kB/s
144.22.252.124,443,true,GRU,South America,São Paulo,173 ms,10282 kB/s
138.2.79.156,443,true,SIN,Asia Pacific,Singapore,183 ms,10185 kB/s
130.61.170.78,443,true,FRA,Europe,Frankfurt,144 ms,9734 kB/s
158.101.204.63,443,true,FRA,Europe,Frankfurt,145 ms,9160 kB/s
141.147.84.127,443,true,FRA,Europe,Frankfurt,154 ms,8744 kB/s
150.230.149.208,443,true,FRA,Europe,Frankfurt,145 ms,7799 kB/s
129.159.47.255,443,true,SJC,North America,San Jose,17 ms,6373 kB/s
8.222.233.183,443,true,SIN,Asia Pacific,Singapore,235 ms,6350 kB/s
129.146.254.39,443,true,LAX,North America,Los Angeles,17 ms,6266 kB/s
129.146.139.227,443,true,LAX,North America,Los Angeles,20 ms,6139 kB/s
155.248.196.123,443,true,YVR,North America,Vancouver,18 ms,6046 kB/s
129.213.136.180,443,true,IAD,North America,Ashburn,68 ms,5749 kB/s
129.146.134.77,443,true,LAX,North America,Los Angeles,19 ms,5692 kB/s
140.238.158.238,443,true,YYZ,North America,Toronto,68 ms,5431 kB/s
130.162.184.173,443,true,LHR,Europe,London,146 ms,5187 kB/s
152.67.78.184,443,true,ZRH,Europe,Zurich,155 ms,5105 kB/s
143.47.242.195,443,true,LHR,Europe,London,146 ms,5103 kB/s
138.2.122.191,443,true,ICN,Asia Pacific,Seoul,134 ms,5101 kB/s
64.110.98.49,443,true,KIX,Asia Pacific,Osaka,155 ms,5012 kB/s
144.24.243.207,443,true,ZRH,Europe,Zurich,154 ms,4945 kB/s
158.101.175.51,443,true,FRA,Europe,Frankfurt,144 ms,4944 kB/s
168.138.66.11,443,true,YUL,North America,Montréal,76 ms,4939 kB/s
129.154.59.235,443,true,ICN,Asia Pacific,Seoul,136 ms,4799 kB/s
152.70.234.188,443,true,ICN,Asia Pacific,Seoul,135 ms,4796 kB/s
158.180.231.216,443,true,MRS,Europe,Marseille,163 ms,4723 kB/s
64.110.103.69,443,true,KIX,Asia Pacific,Osaka,160 ms,4714 kB/s
64.110.104.30,443,true,KIX,Asia Pacific,Osaka,161 ms,4703 kB/s
140.83.86.166,443,true,KIX,Asia Pacific,Osaka,158 ms,4699 kB/s
140.238.195.98,443,true,SYD,Oceania,Sydney,154 ms,4692 kB/s
141.147.190.128,443,true,NRT,Asia Pacific,Tokyo,163 ms,4550 kB/s
152.67.44.30,443,true,GRU,South America,São Paulo,173 ms,4501 kB/s
140.83.61.244,443,true,KIX,Asia Pacific,Osaka,155 ms,4324 kB/s
129.159.130.38,443,true,CDG,Europe,Paris,166 ms,4320 kB/s
144.24.90.107,443,true,ICN,Asia Pacific,Seoul,136 ms,4309 kB/s
132.226.7.217,443,true,NRT,Asia Pacific,Tokyo,171 ms,4213 kB/s
129.154.46.115,443,true,HYD,Asia Pacific,Hyderabad,241 ms,4071 kB/s
8.209.217.106,443,true,KIX,Asia Pacific,Osaka,110 ms,3958 kB/s
141.148.229.106,443,true,AMS,Europe,Amsterdam,131 ms,3786 kB/s
193.122.110.171,443,true,ICN,Asia Pacific,Seoul,132 ms,3436 kB/s
8.222.155.206,443,true,SIN,Asia Pacific,Singapore,239 ms,3427 kB/s
204.216.218.114,443,true,MXP,Europe,Milan,159 ms,3294 kB/s
138.3.222.33,443,true,NRT,Asia Pacific,Tokyo,172 ms,3009 kB/s
164.152.17.14,443,true,ORD,North America,Chicago,60 ms,1044 kB/s
192.9.250.241,443,true,SJC,North America,San Jose,17 ms,955 kB/s
129.159.84.71,443,true,IAD,North America,Ashburn,64 ms,931 kB/s
47.57.13.107,443,true,HKG,Asia Pacific,Hong Kong,183 ms,862 kB/s
8.211.54.130,443,true,FRA,Europe,Frankfurt,138 ms,736 kB/s
47.89.244.253,443,true,SJC,North America,San Jose,16 ms,23 kB/s
134.65.59.100,443,true,LHR,Europe,London,132 ms,23 kB/s
168.138.13.201,443,true,MEL,Oceania,Melbourne,166 ms,4 kB/s
8.210.92.27,443,true,HKG,Asia Pacific,Hong Kong,182 ms,2 kB/s
132.145.81.117,443,true,ICN,Asia Pacific,Seoul,134 ms,1 kB/s
152.70.166.114,443,true,FRA,Europe,Frankfurt,140 ms,0 kB/s
140.238.201.118,443,true,SYD,Oceania,Sydney,154 ms,0 kB/s
152.69.219.32,443,true,SIN,Asia Pacific,Singapore,174 ms,0 kB/s
168.138.191.166,443,true,SIN,Asia Pacific,Singapore,174 ms,0 kB/s
152.67.190.105,443,true,HYD,Asia Pacific,Hyderabad,227 ms,0 kB/s
141.144.234.194,443,true,FRA,Europe,Frankfurt,144 ms,0 kB/s
